City,Parameter,Status,AIC,MAE,RMSE,MAPE,Model_File
Bhavnagar,wind_speed_2m,Success,4031.29,0.820,1.053,30.5%,sarima_Bhavnagar_wind_speed_2m.pkl
Bhavnagar,wind_speed_10m,Success,4706.13,0.988,1.279,25.8%,sarima_Bhavnagar_wind_speed_10m.pkl
Bhopal,wind_power_density_10m,Success,14620.61,22.084,35.332,153.2%,sarima_Bhopal_wind_power_density_10m.pkl
Bhopal,wind_speed_50m,Success,5557.55,1.284,1.660,26.8%,sarima_Bhopal_wind_speed_50m.pkl
Bhopal,wind_speed_10m,Success,4707.02,0.940,1.262,27.4%,sarima_Bhopal_wind_speed_10m.pkl
Bhavnagar,wind_power_density_10m,Success,15172.22,28.580,47.698,127.5%,sarima_Bhavnagar_wind_power_density_10m.pkl
Bhavnagar,wind_power_density_50m,Success,17257.17,66.804,99.199,110.7%,sarima_Bhavnagar_wind_power_density_50m.pkl
Bhavnagar,wind_speed_50m,Success,5314.98,1.236,1.553,23.5%,sarima_Bhavnagar_wind_speed_50m.pkl
Bhuj,wind_speed_2m,Success,5067.36,1.940,2.302,48.1%,sarima_Bhuj_wind_speed_2m.pkl
Bhuj,wind_power_density_50m,Success,18776.63,103.197,139.583,183.4%,sarima_Bhuj_wind_power_density_50m.pkl
Bhuj,wind_power_density_10m,Success,17140.46,55.052,77.606,232.4%,sarima_Bhuj_wind_power_density_10m.pkl
Bhopal,wind_power_density_50m,Success,17096.98,58.152,88.841,157.1%,sarima_Bhopal_wind_power_density_50m.pkl
Bhopal,wind_speed_2m,Success,3940.97,0.758,1.001,32.5%,sarima_Bhopal_wind_speed_2m.pkl
Bhuj,wind_speed_50m,Success,5786.05,1.502,1.872,27.8%,sarima_Bhuj_wind_speed_50m.pkl
Bhuj,wind_speed_10m,Success,5351.15,1.315,1.631,31.8%,sarima_Bhuj_wind_speed_10m.pkl
Bijapur,wind_speed_10m,Success,5685.56,1.330,1.737,34.9%,sarima_Bijapur_wind_speed_10m.pkl
Bijapur,wind_power_density_10m,Success,17305.77,61.998,89.202,360.1%,sarima_Bijapur_wind_power_density_10m.pkl
